importateur,npa,commune,canton,litres_rouge,litres_blanc,litres_total,noga_code,noga_label,commentaire,groupe,pays
Mathieu S.A. Vins fins d'origine,1123,Aclens,VD,17755.0,17255.0,35010.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Kaisergarten Schweiz AG,9430,St. Margrethen SG,SG,19780.0,15022.0,34802.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinsicht GmbH,6438,Ibach,SZ,23174.0,11558.0,34732.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Fattoria la Vialla di Gianni Antonio e,8008,Zürich,ZH,22106.0,12185.0,34291.0,47.91A,Commerce de détail par correspondance ou par Internet,Domaine toscan dont le modèle en Suisse repose à 100% sur la vente directe par correspondance (catalogues/Internet) aux particuliers.,,CH
casa tinto GmbH,4564,Obergerlafingen,SO,24208.0,10010.0,34218.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Lauterbach SA,9548,Matzingen,TG,23025.0,10579.0,33604.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vivino GmbH Frankfurt/DE,8008,Zürich,ZH,32605.0,941.0,33546.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
ARTHUR'S CELLAR INTERNATIONAL SA,1204,Genève,GE,23897.0,9239.0,33136.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini e Distillati Angelo Delea SA,6616,Losone,TI,17033.0,15842.0,32875.0,11.02A,Vinification (Production de vin),Un des plus célèbres producteurs et encaveurs du Tessin (Losone). Dispose d'infrastructures majeures de pressurage et de distillerie.,,CH
Amstein SA,1806,St-Légier-Chiésaz,VD,24291.0,8492.0,32783.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Adriatic Terroir GmbH,8917,Oberlunkhofen,AG,9915.0,22701.0,32616.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
BV Vins Sàrl,1052,Mont-sur-Lausanne,VD,28473.0,3789.0,32262.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Chardonnens Boissons SA,1532,Fétigny,VD,25782.0,6379.0,32161.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Crelier Importations Sàrl,2000,Neuchâtel,NE,23907.0,8016.0,31923.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Chiodi Ascona SA,6612,Ascona,TI,21901.0,9867.0,31768.0,11.02A,Vinification (Production de vin),"Maison de tradition tessinoise (Ascona) active dans la production, la vinification et le commerce de ses propres cuvées.",,CH
Abbate & Calvi AG,8320,Fehraltorf,ZH,24850.0,6413.0,31263.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
La Bodeguilla Vinothek AG,8057,Zürich,ZH,18662.0,12192.0,30854.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
GAUCH Cave des Rochers AG,3186,Düdingen,FR,25496.0,5090.0,30586.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinho GmbH,6221,Rickenbach LU,LU,9540.0,20405.0,29945.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
de CHAVIGNY Sàrl,1004,Lausanne,VD,25594.0,4160.0,29754.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Cantina del Mulino AG,1700,Fribourg,FR,21353.0,8180.0,29533.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
vinos dominguez gmbh,9014,St. Gallen,SG,19764.0,9179.0,28943.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vini Cappelletti AG,3006,Bern,BE,23056.0,5485.0,28541.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
WINE AG,7504,Pontresina,GR,20492.0,7922.0,28414.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Einkaufsgenossenschaft Biel,2503,Biel/Bienne,BE,26720.0,1625.0,28345.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Magazine zum Globus AG,8001,Zürich,ZH,16937.0,11260.0,28197.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés,"Grand magasin haut de gamme. Les rayons ""★Globus Delicatessa"" représentent une part essentielle de l'activité commerciale en magasins.",Migros,CH
3ND SRL,8008,Zürich,ZH,23750.0,4047.0,27797.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Romanin Weine AG,9000,St. Gallen,SG,18024.0,9757.0,27781.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
The Nuance Group AG,8058,Zürich,ZH,19659.0,8072.0,27731.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés,"Acteur majeur des boutiques Duty Free dans les aéroports. Bien qu'ils vendent de grands volumes de vins, spiritueux et parfums, leur code reflète le commerce de détail généraliste en grands espaces.",Avolta,CH
ELFENHOF.ch GmbH,8645,Jona,SG,15597.0,12071.0,27668.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Vini Casa Gusto GmbH,4153,Reinach BL,BL,18468.0,8867.0,27335.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
CASA dos Santos Sàrl,1964,Conthey,VS,23119.0,4188.0,27307.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
VINELITE AG,6045,Meggen,LU,26142.0,943.0,27085.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
1870 Vins & Conseil Sàrl,1870,Monthey,VS,19318.0,7538.0,26856.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Maestral AG,8953,Dietikon,ZH,11931.0,14851.0,26782.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Cava Rava GmbH,8645,Jona,SG,18885.0,7538.0,26423.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Cave Blavignac S.A.,1373,Chavornay,VD,23473.0,2869.0,26342.0,46.34A,Commerce de gros de boissons alcoolisées,"Maison de tradition vaudoise (Chigny) active dans le négoce, la distribution de gros et l'approvisionnement des professionnels de la région.",,CH
Hervé Le Puy GmbH,8340,Hinwil,ZH,15708.0,10457.0,26165.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Schmerling AG,8134,Adliswil,ZH,19263.0,6877.0,26140.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Torevitis SA,1077,Servion,VD,21092.0,4815.0,25907.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Bevanda AG,9487,Gamprin-Bendern,FL,12054.0,13650.0,25704.0,46.34A,Commerce de gros de boissons alcoolisées,,,LI
WeinExperience GmbH,8952,Schlieren,ZH,18859.0,6808.0,25667.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Caporaso AG,5303,Würenlingen,AG,17586.0,8079.0,25665.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Portugal Foods GmbH,8154,Oberglatt ZH,ZH,19544.0,5891.0,25435.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Novadelta Suisse Sàrl,1070,Puidoux,VD,20393.0,5039.0,25432.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Chronos Wine Cellar SA,6900,Lugano,TI,19658.0,5467.0,25125.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weingut Fenouillet AG,6432,Rickenbach SZ,SZ,18820.0,6255.0,25075.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Dovinasol AG,8004,Zürich,ZH,20528.0,4478.0,25006.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
DA MORENO SA,6929,Gravesano,TI,14473.0,10455.0,24928.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Liechtenstein Gruppe Holding AG,9490,Vaduz,FL,11059.0,13799.0,24858.0,70.10Z,Activités des sièges sociaux,,,LI
Axel Caubet Votre Sommelier,1205,Genève,GE,10599.0,14153.0,24752.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Grottoria Weine AG,8280,Kreuzlingen,TG,15222.0,9099.0,24321.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
M & W GmbH,4052,Basel,BS,12578.0,11497.0,24075.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Uvarara SA,6964,Davesco-Soragno,TI,16784.0,7290.0,24074.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinumworld GmbH,4052,Basel,BS,17495.0,6542.0,24037.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinkellerei Gasser,8548,Ellikon a d Thur,ZH,0.0,24000.0,24000.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
CAPOMONDO SA,1206,Genève,GE,17247.0,6747.0,23994.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
BIBARIUM SA,1293,Bellevue,GE,0.0,23982.0,23982.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Ristorfoods Switzerland SA,6592,Sant'Antonino,TI,13676.0,10301.0,23977.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
PY Wine Trading Sàrl,1752,Villars-sur-Glâne,FR,16368.0,7502.0,23870.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Power Force AG,5103,Möriken AG,AG,17362.0,6482.0,23844.0,78.20Z,Activités des agences de travail temporaire,"Agence de services RH, de promotion sur le lieu de vente et d'animations commerciales (souvent pour les marques de boissons).",,CH
Hugi Weine AG,2545,Selzach,BE,21373.0,2378.0,23751.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Cavé Camhis,8600,Dübendorf,ZH,15882.0,7727.0,23609.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Lobenbergs GUTE WEINE GmbH,4153,Reinach BL,BL,14410.0,8557.0,22967.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Distriqual SA,1228,Plan-les-Ouates,GE,19622.0,3245.0,22867.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Grape & Grain AG,5600,Lenzburg,AG,17382.0,5344.0,22726.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Schlosskellerei von Gaisberg GmbH,8200,Schaffhausen,SH,13200.0,9490.0,22690.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Paul Blume Wein,8005,Zürich,ZH,6522.0,15958.0,22480.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
SCALA VINI - SCALA GUSTI AG,3706,Leissigen,BE,15548.0,6859.0,22407.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
GRANCHATEAUX SA,1093,La Conversion,VD,18528.0,3798.0,22326.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Kaufmann,4112,Bättwil-Flüh,SO,17734.0,4589.0,22323.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
BAC GmbH,1568,Portalban,VD,17139.0,4480.0,21619.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Villa Contea SA,4153,Reinach BL,BL,17712.0,3775.0,21487.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Theo's Weine GmbH,8952,Schlieren,ZH,9492.0,11962.0,21454.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
more than wine SA,2000,Neuchâtel,NE,9270.0,11734.0,21004.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
NordWine Inh. Fernandes Peixoto,8620,Wetzikon ZH,ZH,15910.0,4660.0,20570.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Ruli-Vins SA,4123,Allschwil,BL,9099.0,11405.0,20504.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Rivera Wine & Gourmet AG,4106,Therwil,BL,12523.0,7943.0,20466.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Italsapori Import N. & G. Gallo,6284,Gelfingen,LU,14002.0,6309.0,20311.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Enoteca Capponi Sàrl,1007,Lausanne,VD,15970.0,4300.0,20270.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Carte des Vins SA,1125,Monnaz,VD,10924.0,9302.0,20226.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
vino-naturale.ch Dario Bischofberger,8005,Zürich,ZH,10313.0,9907.0,20220.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Brissoni Vini Sagl,6653,Verscio,TI,9437.0,10757.0,20194.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
TOZE - CLARA FERNANDES ANTONIO,1222,Vésenaz,GE,15934.0,4140.0,20074.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
NEGRO Import AG,8953,Dietikon,ZH,17781.0,2040.0,19821.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
tanninogallo GmbH,9000,St. Gallen,SG,7539.0,11775.0,19314.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Sàrl Caroline Frey,1091,Grandvaux,VD,12919.0,6394.0,19313.0,70.10Z,Activités des sièges sociaux,,,CH
Fläschehals Martin Hartmann AG,5070,Frick,AG,14409.0,4796.0,19205.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
FOOD AND BEVERAGE CARE SUISSE SA,6830,Chiasso,TI,10749.0,8392.0,19141.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
niceshops GmbH Feldbach/AT,8002,Zürich,ZH,388.0,18473.0,18861.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
P. Triacca e Co.,7748,Campascio,GR,15562.0,3200.0,18762.0,46.34A,Commerce de gros de boissons alcoolisées,,Triacca,CH
Lucullus SA,6370,Stans,NW,17955.0,675.0,18630.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Genossenschaft Migros Zürich,8005,Zürich,ZH,9783.0,8696.0,18479.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés,,Migros,CH
Wine Cellars International SA,6921,Vico Morcote,TI,10627.0,7794.0,18421.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
EsseQuadro Sagl,6900,Lugano,TI,13834.0,4556.0,18390.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Preli AG,6362,Stansstad,NW,14642.0,3740.0,18382.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Gomende AG,6932,Breganzona,TI,8854.0,9519.0,18373.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Wine in Black GmbH Berlin (DE),9016,St. Gallen,SG,13956.0,4359.0,18315.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Corti Fratelli SA,6828,Balerna,TI,14019.0,4248.0,18267.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Urs Schumacher Weine AG,6025,Neudorf,LU,15018.0,3197.0,18215.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Trallala GmbH,3007,Bern,BE,7510.0,10654.0,18164.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Les Vins d'Auteurs SA,9014,St. Gallen,SG,11876.0,6263.0,18139.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Wein & Vinos GmbH Berlin,8002,Zürich,ZH,11464.0,6630.0,18094.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Macswiss Import GmbH,9545,Wängi,TG,7890.0,10082.0,17972.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
L'Epicerie de Châteauvieux Sàrl,1242,Satigny,GE,10631.0,7327.0,17958.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés,,,CH
FineImp GmbH,9500,Wil SG,SG,9808.0,7867.0,17675.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Euro Peixe Sàrl,1030,Bussigny,VD,14123.0,3441.0,17564.0,46.38A,"Commerce de gros de poissons, crustacés et mollusques","Grossiste majeur de produits de la mer et spécialités portugaises. Bien qu'ils importent du vin, leur cœur de métier reste le poisson frais/surgelé.",,CH
Terre Diverse AG,9500,Wil SG,SG,12070.0,5479.0,17549.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Tredicipercento GmbH,3011,Bern,BE,8815.0,8505.0,17320.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
VILACLARA JR & CO SA,1212,Grand-Lancy,GE,15171.0,2124.0,17295.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vino Diverso Weinhandlung GmbH,9000,St. Gallen,SG,10486.0,6776.0,17262.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Botte di Vino GmbH,9053,Teufen AR,AR,9050.0,8179.0,17229.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Tanner FeinWeinSein,8203,Schaffhausen,SH,9759.0,7461.0,17220.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Wyhus Ryf AG,3123,Belp,BE,15305.0,1809.0,17114.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Al Grappolo AG,4500,Solothurn,SO,9971.0,7143.0,17114.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
FirstSelection GmbH,6052,Hergiswil NW,NW,14560.0,2538.0,17098.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Le Millésime Siegenthaler Frères SA,1800,Vevey,VD,13746.0,3341.0,17087.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Weinfels GmbH,8355,Aadorf,TG,14522.0,2543.0,17065.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
ProKeSo GmbH,9230,Flawil,SG,4100.0,12963.0,17063.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Semadeni Food & Beverage AG,7603,Vicosoprano,GR,11392.0,5601.0,16993.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Monafaro GmbH,8123,Ebmatingen,ZH,10890.0,6063.0,16953.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Walhalladrink AG,8754,Netstal,GL,10389.0,6459.0,16848.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Noption GmbH,6232,Geuensee,LU,0.0,16762.0,16762.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Altha-Vin SA,1224,Chêne-Bougeries,GE,11009.0,5579.0,16588.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
il grappolo vini AG,1786,Sugiez,FR,10701.0,5868.0,16569.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
SMYRLIADIS SA,1610,Oron-la-Ville,VD,9166.0,7283.0,16449.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
FABBRONI VINI SAGL,6815,Melide,TI,7497.0,8894.0,16391.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
BLUE POINT DISTRIBUTION SARL,1095,Lutry,VD,14182.0,1976.0,16158.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Carton Rouge SA,1305,Penthalaz,VD,10906.0,5172.0,16078.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Segmüller Collection Trade GmbH,8001,Zürich,ZH,10988.0,5065.0,16053.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinothek im Park AG,6440,Brunnen,SZ,14162.0,1801.0,15963.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Weinhaus Kirchberg GmbH,3422,Kirchberg,BE,11232.0,4556.0,15788.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
Cantina RATTI GmbH,7505,Celerina/Schlarigna,GR,11191.0,4568.0,15759.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinoversum A. Gatti AG,8413,Neftenbach,ZH,10897.0,4734.0,15631.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Albert Reichmuth AG,8004,Zürich,ZH,10431.0,5122.0,15553.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),"Institution zurichoise (""La Maison du Vin"") possédant une vinothèque physique majeure destinée aux amateurs et particuliers.",,CH
Bianco Rosso e Rosa SAGL,6934,Bioggio,TI,11658.0,3877.0,15535.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
TERRA VERDE Bio-Gourmet AG,8049,Zürich,ZH,7290.0,8195.0,15485.0,46.39A,Commerce de gros interentreprises de produits alimentaires,,,CH
Châteaux & Conseils SA,1204,Genève,GE,13311.0,2168.0,15479.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
LS Travel Retail International SA,1215,Genève,GE,13312.0,2091.0,15403.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés,,,CH
Schindelholz SA Vins & Champagnes,4143,Dornach,BL,11471.0,3923.0,15394.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Vinhos de Portugal (VdP) Schweiz GmbH,7000,Chur,GR,10582.0,4803.0,15385.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Kreis Suisse S.A.,4852,Rothrist,AG,10479.0,4779.0,15258.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Oceano Events Import GmbH,8952,Schlieren,ZH,9316.0,5868.0,15184.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Unicovino SA,8700,Küsnacht ZH,ZH,8844.0,6225.0,15069.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
WeinWerft GmbH,8142,Uitikon Waldegg,ZH,6772.0,8177.0,14949.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Deux Frères GmbH,8152,Glattbrugg,ZH,14922.0,0.0,14922.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Padula SA,1023,Crissier,VD,8729.0,6162.0,14891.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Balance Trade AG,5616,Meisterschwanden,AG,9198.0,5580.0,14778.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Ciao Mondo AG,6340,Baar,ZG,9267.0,5463.0,14730.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
ViniNostri AG Felsenkeller.SH,8200,Schaffhausen,SH,11150.0,3563.0,14713.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,,CH
XtraWine Swiss Sagl,6830,Chiasso,TI,14199.0,448.0,14647.0,47.91A,Commerce de détail par correspondance ou par Internet,,,CH
Restaurant Le Joran Sàrl,2000,Neuchâtel,NE,12153.0,2461.0,14614.0,56.10A,"Restaurants, cafés et salons de thé","Établissement de restauration (Yvonand, VD). Le vin y est servi à table, mais son code relève de la restauration.",,CH
